date,btc_daily_tx,swift_daily_msgs
2025-02-23,328818,38819490
2025-02-24,282948,39969750
2025-02-25,380347,44530810
2025-02-26,313270,31360088
2025-02-27,362467,39388715
2025-02-28,348682,31572235
2025-03-01,323441,41516682
2025-03-02,330582,35156058
2025-03-03,282864,40419256
2025-03-04,282971,34255429
2025-03-05,361220,30419095
2025-03-06,286365,44100852
2025-03-07,421891,43197594
2025-03-08,424211,35415155
2025-03-09,317228,31640380
2025-03-10,398649,34719266
2025-03-11,302168,34081653
2025-03-12,410279,35127356
2025-03-13,362440,32680253
2025-03-14,368361,43813674
2025-03-15,352873,36257230
2025-03-16,359677,44204085
2025-03-17,286105,33783509
2025-03-18,332284,44859763
2025-03-19,382369,31524699
2025-03-20,325467,31491185
2025-03-21,286791,38051292
2025-03-22,343068,42856634
2025-03-23,380847,38863375
2025-03-24,300534,43087012
2025-03-25,279875,37690314
2025-03-26,382318,38157374
2025-03-27,311117,39053463
2025-03-28,401757,36748797
2025-03-29,357165,30256556
2025-03-30,324975,30734298
2025-03-31,339335,31094069
2025-04-01,407755,41298130
2025-04-02,408337,32660138
2025-04-03,336842,30730052
2025-04-04,326573,39427448
2025-04-05,413099,40123596
2025-04-06,397055,43324935
2025-04-07,393352,32948483
2025-04-08,314783,36754638
2025-04-09,292993,42391240
2025-04-10,424549,35358817
2025-04-11,288499,42575038
2025-04-12,369044,30070270
2025-04-13,375105,44879916
2025-04-14,334882,43308154
2025-04-15,299860,44938172
2025-04-16,378901,39647872
2025-04-17,391196,39309428
2025-04-18,295615,30368588
2025-04-19,388031,38798156
2025-04-20,333833,36298952
2025-04-21,318362,44169357
2025-04-22,375684,44782234
2025-04-23,373048,37601489
2025-04-24,360807,43538619
2025-04-25,313857,40683572
2025-04-26,345579,41037331
2025-04-27,371383,39695521
2025-04-28,281584,36829765
2025-04-29,330859,31578362
2025-04-30,362236,38098244
2025-05-01,385109,31505601
2025-05-02,319952,41580966
2025-05-03,390438,32167629
2025-05-04,387706,33027235
2025-05-05,422555,42987936
2025-05-06,343791,39594152
2025-05-07,361627,41764936
2025-05-08,367591,30685619
2025-05-09,411531,44793120
2025-05-10,397452,32338408
2025-05-11,297331,43417951
2025-05-12,378312,31138212
2025-05-13,356096,30053332
2025-05-14,374485,39844962
2025-05-15,331246,35418438
2025-05-16,392948,33157840
2025-05-17,382066,30820644
2025-05-18,406851,41587072
2025-05-19,312036,38182994
2025-05-20,354247,36288898
2025-05-21,293298,40604329
2025-05-22,291408,43219274
2025-05-23,285977,39154672
2025-05-24,307041,40248566
2025-05-25,336719,38180449
2025-05-26,285716,37366054
2025-05-27,396677,34914570
2025-05-28,318746,44691332
2025-05-29,290691,34910535
2025-05-30,367834,37387286
2025-05-31,300951,31810093
2025-06-01,353474,33389805
2025-06-02,415214,37692977
2025-06-03,324180,42779260
2025-06-04,314859,30881315
2025-06-05,292250,42125276
2025-06-06,330210,43159800
2025-06-07,307770,32259816
2025-06-08,421499,40139720
2025-06-09,324047,33881229
2025-06-10,378659,41529251
2025-06-11,311008,38460741
2025-06-12,323626,39505976
2025-06-13,383581,38001384
2025-06-14,338351,31466274
2025-06-15,399915,41035955
2025-06-16,399951,31942018
2025-06-17,398819,30387128
2025-06-18,364446,37099483
2025-06-19,328929,37026899
2025-06-20,339134,42118113
2025-06-21,371873,33664961
2025-06-22,408715,39475862
2025-06-23,424230,40354489
2025-06-24,392680,40770061
2025-06-25,337475,40920589
2025-06-26,384439,42002694
2025-06-27,311072,44285804
2025-06-28,291259,32697063
2025-06-29,340879,41606365
2025-06-30,290036,34433688
2025-07-01,395520,30716928
2025-07-02,346844,37446124
2025-07-03,350319,37453738
2025-07-04,345449,32397115
2025-07-05,386880,36900283
2025-07-06,323376,36790572
2025-07-07,415888,37807482
2025-07-08,278176,40017897
2025-07-09,302290,42001641
2025-07-10,374795,31053458
2025-07-11,400198,37497325
2025-07-12,398617,31693248
2025-07-13,338635,37316812
2025-07-14,395019,42925177
2025-07-15,382466,42959737
2025-07-16,340917,35516607
2025-07-17,304597,39372315
2025-07-18,330672,42832022
2025-07-19,352206,33318899
2025-07-20,395885,33495542
2025-07-21,337785,34784130
2025-07-22,401180,36748509
2025-07-23,293514,39187805
2025-07-24,358566,31049843
2025-07-25,342199,43608103
2025-07-26,360572,37839745
2025-07-27,284467,34950733
2025-07-28,306703,43123289
2025-07-29,376018,39134802
2025-07-30,367341,30649037
2025-07-31,410774,32727964
2025-08-01,343811,33494497
2025-08-02,419665,38577561
2025-08-03,363872,34165697
2025-08-04,303283,41867456
2025-08-05,329765,41083997
2025-08-06,407111,31489995
2025-08-07,358802,38501247
2025-08-08,275687,42494914
2025-08-09,284247,37481293
2025-08-10,405831,35437238
2025-08-11,324759,39094158
2025-08-12,382589,31519629
2025-08-13,397361,44012666
2025-08-14,366228,37103573
2025-08-15,381282,37477549
2025-08-16,396848,40345569
2025-08-17,313809,43687922
2025-08-18,307986,37054512
2025-08-19,420315,36365216
2025-08-20,316531,30858866
2025-08-21,408198,30499614
